country,2020-11-01,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-11,2021-09-12,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-18,2021-09-19,2021-09-20,2021-09-21,2021-09-22,2021-09-23,2021-09-24,2021-09-25,2021-09-26,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-01,2021-10-02,2021-10-03,2021-10-04,2021-10-05,2021-10-06,2021-10-07,2021-10-08,2021-10-09,2021-10-10,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-16,2021-10-17,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-23,2021-10-24,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-10-30,2021-10-31,2021-11-01
Africa,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,33.0,33.0,33.0,39.0,40.0,41.0,40.0,41.0,43.0,44.0,41.0,42.0,50.0,57.0,77.0,99.0,111.0,122.0,138.0,144.0,148.0,137.0,121.0,113.0,106.0,98.0,114.0,128.0,141.0,149.0,153.0,157.0,184.0,171.0,158.0,151.0,152.0,151.0,152.0,152.0,163.0,169.0,185.0,195.0,200.0,214.0,222.0,216.0,215.0,201.0,181.0,175.0,162.0,152.0,168.0,186.0,199.0,208.0,216.0,225.0,237.0,228.0,223.0,211.0,205.0,201.0,196.0,189.0,184.0,183.0,205.0,206.0,205.0,205.0,200.0,196.0,186.0,187.0,188.0,190.0,187.0,185.0,182.0,178.0,171.0,163.0,162.0,161.0,169.0,184.0,188.0,188.0,187.0,187.0,190.0,200.0,194.0,199.0,242.0,252.0,266.0,276.0,281.0,285.0,284.0,245.0,260.0,266.0,274.0,292.0,325.0,363.0,401.0,403.0,405.0,410.0,430.0,419.0,417.0,412.0,417.0,424.0,431.0,407.0,407.0,414.0,397.0,381.0,378.0,377.0,398.0,407.0,400.0,416.0,416.0,418.0,419.0,397.0,373.0,370.0,366.0,367.0,378.0,384.0,378.0,384.0,379.0,382.0,382.0,370.0,348.0,349.0,357.0,356.0,342.0,342.0,336.0,344.0,335.0,329.0,328.0,340.0,339.0,339.0,361.0,387.0,410.0,463.0,438.0,433.0,418.0,421.0,405.0,395.0,360.0,382.0,381.0,387.0,403.0,454.0,501.0,545.0,557.0,578.0,588.0,571.0,642.0,612.0,579.0,600.0,616.0,634.0,677.0,566.0,599.0,647.0,647.0,644.0,667.0,699.0,789.0,825.0,853.0,881.0,936.0,943.0,972.0,998.0,1015.0,1035.0,1099.0,1087.0,1176.0,1144.0,1106.0,1092.0,1061.0,1008.0,1062.0,993.0,1053.0,1013.0,965.0,970.0,1050.0,1094.0,1122.0,1054.0,1081.0,1087.0,1159.0,1084.0,1011.0,1006.0,1025.0,1039.0,1074.0,1016.0,1011.0,1006.0,1014.0,1019.0,1003.0,976.0,936.0,945.0,953.0,930.0,908.0,912.0,939.0,946.0,935.0,917.0,915.0,920.0,945.0,965.0,977.0,1023.0,1058.0,1090.0,1111.0,1103.0,1085.0,1085.0,1082.0,1083.0,1078.0,1123.0,1175.0,1186.0,1201.0,1211.0,1227.0,1228.0,1169.0
Algeria,,,,,,,,,,,,,,,,,,,,,,,1.0,42.0,56.0,63.0,67.0,70.0,72.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,143.0,202.0,261.0,320.0,380.0,439.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,1244.0,1991.0,2737.0,3483.0,4229.0,4976.0,5722.0,5722.0,5722.0,5722.0,5722.0,5722.0,5722.0,5722.0,5722.0,5696.0,5670.0,5643.0,5617.0,5591.0,5565.0,5539.0,5539.0,4762.0,3986.0,3209.0,2433.0,1656.0,880.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,202.0,300.0,398.0,497.0,595.0,693.0,792.0,792.0,792.0,792.0,792.0,792.0,792.0,792.0,792.0,792.0,792.0,792.0,792.0,792.0,792.0,792.0,792.0,792.0,792.0,792.0,792.0,792.0,792.0,751.0,710.0,669.0,588.0,507.0,427.0,411.0,437.0
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,25.0,25.0,25.0,25.0,25.0,25.0,38.0,52.0,66.0,79.0,93.0,107.0,120.0,120.0,120.0,120.0,129.0,137.0,145.0,153.0,162.0,170.0,188.0,197.0,207.0,217.0,226.0,226.0,227.0,217.0,207.0,198.0,188.0,179.0,179.0,204.0,230.0,256.0,282.0,307.0,357.0,407.0,431.0,455.0,479.0,503.0,527.0,527.0,513.0,499.0,484.0,470.0,431.0,392.0,352.0,327.0,302.0,277.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,253.0,253.0,254.0,255.0,256.0,256.0,322.0,387.0,452.0,498.0,543.0,589.0,634.0,615.0,552.0,490.0,448.0,405.0,362.0,384.0,405.0,469.0,533.0,598.0,662.0,726.0,726.0,836.0,947.0,917.0,887.0,857.0,827.0,797.0,635.0,474.0,453.0,432.0,411.0,390.0,370.0,369.0,369.0,372.0,375.0,378.0,381.0,343.0,305.0,266.0,225.0,184.0,142.0,101.0,112.0,123.0,135.0,146.0,157.0,168.0,180.0,174.0,168.0,162.0,156.0,150.0,144.0,138.0,142.0,145.0,149.0,153.0,156.0,160.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,151.0,138.0,125.0,112.0,99.0,86.0,81.0,89.0,96.0,104.0,112.0,120.0,128.0,136.0,145.0,153.0,162.0,214.0,266.0,317.0,361.0,405.0,518.0,632.0,702.0,772.0,842.0,912.0,982.0,996.0,1009.0,1023.0,1036.0,1049.0,1063.0,1076.0,1076.0,1076.0,1076.0,1098.0,1121.0,1143.0,1165.0,1188.0,1210.0,1232.0,1232.0,1236.0,1240.0,1244.0,1248.0,1252.0,1256.0,1260.0,1395.0,1530.0,1664.0,1799.0,1933.0,2068.0,2202.0,2202.0,2202.0,2202.0,2202.0,2202.0,2138.0,2073.0,2009.0,1945.0,1880.0,1816.0,2280.0,2809.0,3337.0,3866.0,4491.0,5117.0,5147.0,4648.0,4150.0,3651.0,3322.0,2895.0,2297.0,2294.0,2292.0,2289.0,2286.0,2114.0
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,24.0,30.0,35.0,41.0,46.0,52.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,59.0,62.0,64.0,66.0,68.0,71.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,67.0,62.0,56.0,51.0,46.0,40.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,34.0,34.0,34.0,34.0,34.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,42.0,50.0,59.0,67.0,76.0,85.0,93.0,93.0,93.0,93.0,82.0,71.0,60.0,49.0,38.0,27.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,67.0,118.0,169.0,220.0,272.0,323.0,374.0,374.0,374.0,357.0,340.0,323.0,306.0,288.0,271.0,254.0,261.0,268.0,275.0,282.0,289.0,296.0,303.0,303.0,259.0,216.0,173.0,130.0,87.0,44.0,31.0,63.0,94.0,125.0,156.0,187.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,204.0,189.0,175.0,160.0,146.0,131.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,170.0,223.0,277.0,330.0
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615.0,615.0,615.0,615.0,615.0,615.0,615.0,615.0,565.0,515.0,465.0,414.0,365.0,314.0,264.0,357.0,451.0,544.0,664.0,784.0,904.0,1023.0,982.0,941.0,900.0,818.0,735.0,653.0,571.0,504.0,436.0,369.0,314.0,259.0,203.0,148.0,152.0,157.0,161.0,168.0,176.0,182.0,190.0,212.0,234.0,257.0,438.0,620.0,803.0,984.0,1250.0,1516.0,1782.0,1996.0,2210.0,2423.0,2637.0,2553.0,2468.0,2383.0,2097.0,1811.0,1525.0,1239.0,1078.0,918.0,757.0,646.0,535.0,423.0,312.0,268.0,223.0,179.0,342.0,505.0,668.0,831.0,994.0,1157.0,1320.0,1493.0,1664.0,1837.0,2009.0,2156.0,2304.0,2453.0,2392.0,2331.0,2270.0,2209.0,2031.0,1854.0,1676.0,1512.0,1347.0,1183.0,1019.0,994.0,970.0,946.0,898.0,851.0,804.0,756.0,1188.0,1290.0,1392.0,1541.0,1690.0,1838.0,1987.0,1552.0,1447.0,1342.0,1286.0,1230.0,1174.0,1118.0,1366.0,1615.0,1863.0,1855.0,1847.0,1840.0,1832.0,1551.0,1270.0,990.0,895.0,800.0,704.0,609.0,714.0,818.0,922.0,1048.0,1272.0,1496.0,1720.0,1636.0,1553.0,1470.0,1387.0,1206.0,1025.0,843.0,843.0,843.0,843.0,843.0,843.0,1447.0,2051.0,2655.0,3259.0,3863.0,4467.0,5071.0,4657.0,4242.0,3828.0,3414.0,3000.0,2585.0,2171.0,2171.0,1987.0,1802.0,1618.0,1434.0,1250.0,1065.0,903.0,926.0,948.0,971.0,993.0,1015.0,1038.0,1045.0,1052.0,1060.0,1067.0,1074.0,1081.0,1088.0,1088.0,1402.0,1715.0,2028.0,2341.0,2654.0,2967.0,3280.0,3541.0,3802.0,4062.0,4323.0,4584.0,4845.0,5105.0,5143.0,5180.0,5218.0,5255.0,5293.0,5330.0,5368.0,5075.0,4782.0,4489.0,4196.0,3903.0,3611.0,3317.0,3501.0,3685.0,3869.0,4052.0
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,52.0,61.0,71.0,80.0,78.0,76.0,73.0,61.0,49.0,37.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,23.0,20.0,18.0,15.0,12.0,10.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,36.0,65.0,93.0,122.0,151.0,180.0,209.0,203.0,198.0,193.0,187.0,182.0,176.0,171.0,155.0,138.0,122.0,105.0,89.0,72.0,56.0,56.0,78.0,100.0,122.0,144.0,167.0,189.0,211.0,211.0,211.0,211.0,211.0,211.0,236.0,262.0,288.0,313.0,339.0,364.0,390.0,390.0,390.0,390.0,350.0,310.0,270.0,230.0,190.0,151.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,130.0,149.0,168.0,187.0,206.0,225.0,244.0,244.0,244.0,244.0,244.0,244.0,244.0,244.0,244.0,591.0,937.0,1283.0,1630.0,1630.0,1631.0,1631.0,1286.0
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,18.0,20.0,20.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,32.0,42.0,52.0,62.0,72.0,82.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,81.0,71.0,61.0,50.0,40.0,29.0,20.0,22.0,24.0,33.0,42.0,51.0,69.0,84.0,90.0,97.0,95.0,94.0,93.0,77.0,60.0,53.0,45.0,38.0,31.0,23.0,23.0,35.0,47.0,48.0,48.0,48.0,48.0,52.0,43.0,35.0,38.0,41.0,45.0,48.0,48.0,47.0,47.0,50.0,54.0,57.0,60.0,73.0,86.0,99.0,109.0,118.0,128.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,227.0,317.0,407.0,497.0,587.0,677.0,767.0,663.0,558.0,453.0,348.0,243.0,167.0,92.0,99.0,106.0,112.0,119.0,126.0,103.0,80.0,80.0,85.0,89.0,93.0,97.0,102.0,106.0,114.0,118.0,122.0,126.0,130.0,134.0,138.0,140.0,143.0,145.0,148.0,138.0,127.0,117.0,106.0,95.0,83.0,72.0,65.0,59.0,52.0,46.0,41.0,36.0,30.0,33.0,35.0,38.0,40.0,42.0,44.0,46.0,49.0,51.0,53.0,54.0,54.0,55.0,55.0,55.0,54.0,54.0,53.0,52.0,46.0,40.0,34.0,29.0,24.0,37.0,51.0,54.0,58.0,61.0,64.0,68.0,52.0,37.0,35.0,32.0,30.0,28.0,26.0,25.0,24.0,25.0,33.0,41.0,49.0,57.0,60.0,63.0,66.0,62.0,58.0,55.0,51.0,51.0,51.0,44.0,37.0,31.0,24.0,17.0
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.0,614.0,614.0,614.0,614.0,614.0,620.0,627.0,632.0,639.0,646.0,652.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,614.0,568.0,523.0,477.0,432.0,386.0,413.0,484.0,555.0,523.0,492.0,460.0,428.0,325.0,393.0,459.0,627.0,797.0,966.0,1136.0,1305.0,1305.0,1305.0,1305.0,1305.0,1305.0,1305.0,1693.0,2079.0,2237.0,2397.0,2556.0,2714.0,3250.0,3431.0,3611.0,4021.0,4430.0,4840.0,5140.0,5063.0,4953.0,4844.0,4579.0,4314.0,4049.0,3893.0,3842.0,3790.0,3738.0,3840.0,3943.0,4048.0,4151.0,4274.0,4397.0,4520.0,4643.0,4766.0,4889.0,5012.0,5371.0,4977.0,4582.0,4188.0,3795.0,3400.0,3006.0,2893.0,3532.0,4173.0,4812.0,5450.0,5912.0,6374.0,6142.0,5907.0,5673.0,5440.0,5206.0,5150.0,5095.0,5095.0,5216.0,5337.0,5459.0,5580.0,5702.0,5825.0,6204.0,6462.0,6720.0,6980.0,7237.0,7495.0,7753.0,8163.0,8571.0,8981.0,9389.0,9935.0,10479.0,11024.0,11161.0,11297.0,10284.0,9269.0,8119.0,6969.0,5820.0,4670.0,4326.0,5132.0,5938.0,6745.0,7551.0,8357.0,9163.0,9163.0,9163.0,9163.0,9163.0,8669.0,8177.0,7683.0,7189.0,6695.0,6042.0,5390.0,5231.0,5073.0,4914.0,4756.0,4675.0,4756.0,4835.0,4914.0,4616.0,4318.0,4019.0,3640.0,3980.0,4321.0,4663.0,5381.0,6100.0,6819.0,7538.0,7538.0,7538.0,6821.0,6103.0,5386.0,4670.0,3953.0,3235.0,2519.0,2519.0,2792.0,3065.0,3338.0,3611.0,4144.0,4678.0,5213.0,5203.0,5194.0,5184.0,5176.0,4859.0,4543.0,4227.0,3970.0
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,170.0,172.0,174.0,176.0,178.0,180.0,182.0,182.0,170.0,158.0,145.0,133.0,121.0,108.0,412.0,512.0,612.0,712.0,812.0,912.0,1012.0,795.0,795.0,684.0,572.0,460.0,349.0,237.0,126.0,14.0,30.0,46.0,62.0,78.0,94.0,110.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,117.0,108.0,99.0,90.0,81.0,65.0,50.0,44.0,37.0,31.0,25.0,18.0,18.0,18.0,18.0,18.0,17.0,17.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,49.0,84.0,120.0,155.0,189.0,225.0,260.0,260.0,260.0,260.0,261.0,262.0,263.0,264.0,265.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,409.0,552.0,695.0,839.0,982.0,1125.0,1268.0,1268.0,1176.0,1083.0,990.0,897.0,804.0,712.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,1007.0,1395.0,1783.0,2170.0,2558.0,2946.0,3334.0,2943.0,2552.0,2161.0,1770.0,1379.0,988.0,597.0,597.0,597.0,597.0,597.0
